ImageKey	FileName	Latitude	Longitude	Altitude	OriginalHeight	OriginalWidth	Date	LastUpdated	Uri	ThumbnailUrl	Keywords	Caption
4wqd5Hr	boy corn harvest tamale ghana 1976.jpg	0.00000000000000	0.00000000000000	0	3021	2014	2016-10-14T18:54:10+00:00	2016-10-14T18:54:40+00:00	/api/v2/album/Kng6tg/image/4wqd5Hr-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-4wqd5Hr/0/62daaf64/Th/boy%20corn%20harvest%20tamale%20ghana%201976-Th.jpg	boy; corn; harvest; tamale; ghana	Most of the students at Ghana Secondary School in Tamale Ghana were very relaxed in front of the camera. This led to some decent portraits.
K7JKbs8	corn harvest students tamale ghana.jpg	9.39566388888890	-0.81627222222222	0	2036	3122	2015-07-26T22:44:14+00:00	2015-07-26T22:44:17+00:00	/api/v2/album/Kng6tg/image/K7JKbs8-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-K7JKbs8/0/bdb448aa/Th/corn%20harvest%20students%20tamale%20ghana-Th.jpg	corn; harvest; students; tamale; ghana	Today I updated my primary image database program, ThumbsPlus Pro, to version 10. ThumbsPlus Pro does one thing for me that none of my other image processors do. It reliably decodes 16 bit JPEG 2000 files as 16 bit TIF files. Lightroom will not touch 16 bit JPEG 2000 files: a huge intentional slight in my opinion. Picture Window Pro will decode JPEG 2000 files but the resulting TIFs have 8 bits per channel. In my early scanning days I saved the results of all my raw scans as lossless 16 bit JPEG 2000 files because this was, and still is, the smallest lossless 16 bit channel format. Even with JPEG 2000 compression many of my scan files exceed 100 MB. Whenever I upgrade I rummage through my old scans and decode a few just to make sure my extensive image archives are still readable. This is a picture I snapped of some of my Ghana Secondary School students harvesting corn way back in 1976. My students loved having their pictures taken and loved to pose. I should have taken a lot more pictures than I did.
nFRxBh2	depression catholic school ghana 1975.jpg	0.00000000000000	0.00000000000000	0	2665	3731	2016-09-12T00:01:53+00:00	2016-10-02T16:44:38+00:00	/api/v2/album/Kng6tg/image/nFRxBh2-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-nFRxBh2/0/e58e1193/Th/depression%20catholic%20school%20ghana%201975-Th.jpg	depression; catholic; school; ghana	Sometimes dark moods lead to intriguing pictures. In August of 1975, I started my stint as CUSO volunteer mathematics teacher in Tamale Ghana. New volunteers arrived in Tamale a few weeks before the school term started. We were temporarily housed in a Catholic boarding school about a kilometer from Ghana Secondary School. This was not my first foreign posting. I had lived in southern Iran and Beirut Lebanon as a teenager. I thought I was immune to culture shock. Yet within a few days of arriving in Tamale, I fell into the most peculiar of moods. For about a week I could not read. I had brought a load of math books from Canada to aid my teaching efforts but I could no longer make sense of them. I wondered, in a strange out-of-body way, how I could teach if I couldn&#8217;t read. Eventually, my mood dissipated and my perennial enthusiasms returned. During my reading blackout I set up my camera in the corner of the dorm room I was staying in and shot this self-portrait. Of all my self-portraits, this one came the closest to capturing my feelings at the time.
xCdD7V8	dry season sun [9622633].jpg	0.00000000000000	0.00000000000000	0	2585	1736	2009-02-19T23:13:54+00:00	2013-08-08T03:31:50+00:00	/api/v2/album/Kng6tg/image/xCdD7V8-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-xCdD7V8/0/3cdb2825/Th/dry%20season%20sun%20%5B9622633%5D-Th.jpg	dimmed; dry; season; sun	The sun greatly dimmed by dust.
sTXnpLm	ghana cusos beach 1975.jpg	0.00000000000000	0.00000000000000	0	2192	3289	2014-11-15T21:58:54+00:00	2014-11-15T22:02:41+00:00	/api/v2/album/Kng6tg/image/sTXnpLm-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-sTXnpLm/0/1119129f/Th/ghana%20cusos%20beach%201975-Th.jpg	ghana; cuso; beach	1975 Ghana CUSO volunteers. My CUSO cohort. I think we can all agree the 1970's marked peak fashion geek. It's been almost forty years since I snapped this slide. The original is poorly exposed and blurred but this is the only group shot I have from that bygone era. If you are one of the people in this image please leave a note.
VG2s4WG	ghana girl boat beach.jpg	0.00000000000000	0.00000000000000	0	3659	2613	2013-12-01T00:30:48+00:00	2013-12-01T00:30:59+00:00	/api/v2/album/Kng6tg/image/VG2s4WG-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-VG2s4WG/0/ad1832b9/Th/ghana%20girl%20boat%20beach-Th.jpg	ghana; girl; boat; beach	Ghanaian girl on the beach. People in Ghana were very friendly and loved to pose.
kNRs3X8	ghana secondary school [12075167].jpg	9.39672500000000	-0.81672600000000	0	1694	2543	2009-02-19T23:14:06+00:00	2013-08-08T03:31:33+00:00	/api/v2/album/Kng6tg/image/kNRs3X8-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-kNRs3X8/0/c77f861b/Th/ghana%20secondary%20school%20%5B12075167%5D-Th.jpg	4x6; ghana; mid; school; secondary; seventies; tamale	Ghana Secondary School in Tamale Ghana. I taught 5th and 6th form mathematics here in the mid seventies.
Qjs2hr6	ghana secondary school student lunch.jpg	0.00000000000000	0.00000000000000	0	3848	2559	2013-11-30T20:08:03+00:00	2013-11-30T20:08:13+00:00	/api/v2/album/Kng6tg/image/Qjs2hr6-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-Qjs2hr6/0/6231420c/Th/ghana%20secondary%20school%20student%20lunch-Th.jpg	ghana; secondary; school; student; lunch	One of my upper form Ghana Secondary School students enjoying lunch.
qbXqVgC	ghana secondary school teacher bungalows 1976.jpg	9.39475000000000	-0.81762222222222	0	2633	3949	2017-06-24T21:16:00+00:00	2017-06-24T21:16:48+00:00	/api/v2/album/Kng6tg/image/qbXqVgC-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-qbXqVgC/0/8894216f/Th/ghana%20secondary%20school%20teacher%20bungalows%201976-Th.jpg	ghana; secondary; school; teacher; bungalows	I lived in two houses while teaching mathematics at Ghana Secondary School and this picture shows neither of them. I&#8217;m including it because one of the houses I lived in was just out of the frame of this shot and, frankly, all these bungalows were the same. This picture was taken from just outside my first house. It had a different floor plan and even had a little courtyard. The courtyard had a papaya tree that produced superb papayas. The papaya tree grew beside the house near a colony of African Bees. The locals were terrified of the bees and for good reason. Entire swarms would occasionally go after people and inflict hundreds of life-threatening stings. The bees protected my papayas from pilfering. Nearby houses had similar papaya trees but the fruit was stolen when the occupants were away.
ZdzNXm3	ghana two cedis banknote [11695118].jpg	0.00000000000000	0.00000000000000	0	1162	2506	2009-02-19T23:14:22+00:00	2013-08-08T03:30:07+00:00	/api/v2/album/Kng6tg/image/ZdzNXm3-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-ZdzNXm3/0/88428e24/Th/ghana%20two%20cedis%20banknote%20%5B11695118%5D-Th.jpg	banknote; cedis; controlled; ghana; good; rendered; two	Scan of a 1972 Ghanaian banknote. During my stay in Ghana inflation got out of control. In a two year period the Cedi was rendered almost worthless. I watched as all the goods on the markets vanished. Noboby was stupid enough to sell anything at the official controlled price.
vF4Bwpg	ghanasco track team 1977.jpg	0.00000000000000	0.00000000000000	0	2531	3542	2017-07-16T21:51:42+00:00	2017-07-16T21:52:03+00:00	/api/v2/album/Kng6tg/image/vF4Bwpg-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-vF4Bwpg/0/4fa12af5/Th/ghanasco%20track%20team%201977-Th.jpg	ghanasco; track; team	The Ghana Secondary School (Ghanasco) 1977 track team. Some of the students in this picture were in my upper form math and science classes but even in 1970&#8217;s Ghana the nerdish tended to avoid athletics. The dusty sky was typical for the dry season in northern Ghana. On some days there was so much dust in the air you could comfortably look at the sun
7WbqpMj	girl reading door.jpg	0.00000000000000	0.00000000000000	0	3211	2566	2014-01-28T03:36:46+00:00	2014-01-28T03:36:57+00:00	/api/v2/album/Kng6tg/image/7WbqpMj-0	https://photos.smugmug.com/Places/Overseas-Places/Ghana-1970s/i-7WbqpMj/0/4d70edde/Th/girl%20reading%20door-Th.jpg	girl; reading; door	Girl reading in the door.
